.auction,generic,Dog Beach  LLC,37.209.192.7,AS12008
.audi,generic,AUDI Aktiengesellschaft,65.22.210.17,AS12041
.audible,generic,Amazon Registry Services  Inc,103.49.82.56,AS43519
.audio,generic,UNR Corp,64.96.1.1,AS62831
.auspost,generic,Australian Postal Corporation,,AS12008
.author,generic,Amazon Registry Services  Inc,,AS43519
.auto,generic,XYZCOM LLC,212.18.248.131,AS201304
.autos,generic,XYZCOM LLC,185.24.64.136,AS60890
.avianca,generic,Avianca Holdings SA,65.22.83.17,AS207266
.aw,country-code,SETAR,194.0.28.2,AS48283
.aws,generic,AWS Registry LLC,213.248.222.53,AS43519
.ax,country-code,Ålands landskapsregering,194.112.0.5,AS3238
.axa,generic,AXA Group Operations SAS,,AS19905
.az,country-code,IntraNS,147.28.0.39,AS3130
.azure,generic,Microsoft Corporation,192.42.175.30,AS27544
.ba,country-code,Universtiy Telinformatic Centre (UTIC),195.130.35.5,AS8670
.baby,generic,XYZCOM LLC,185.24.64.101,AS60890
.baidu,generic,Baidu  Inc,203.99.27.1,AS38345
.banamex,generic,Citigroup Inc,156.154.158.21,AS19905
.bananarepublic,generic,The Gap  Inc,156.154.159.22,AS19905
.band,generic,Dog Beach  LLC,37.209.192.7,AS12008
.bank,generic,fTLD Registry Services  LLC,156.154.103.27,AS397213
.bar,generic,Punto 2012 Sociedad Anonima Promotora de Inversion de Capital Variable,212.18.249.56,AS201303
.barcelona,generic,Municipi de Barcelona,195.253.65.11,AS8391
.barclaycard,generic,Barclays Bank PLC,37.209.198.9,AS12008
.barclays,generic,Barclays Bank PLC,,AS12008
.barefoot,generic,Gallo Vineyards  Inc,192.42.175.30,AS27544
.bargains,generic,Binky Moon  LLC,37.209.192.7,AS12008
.baseball,generic,MLB Advanced Media DH  LLC,156.154.144.200,AS19905
.basketball,generic,Fédération Internationale de Basketball (FIBA),37.209.194.10,AS12008
.bauhaus,generic,Werkhaus GmbH,195.253.65.11,AS8391
.bayern,generic,Bayern Connect GmbH,213.248.221.14,AS43519
