US,77920
CA,38272
AU,7040
DE,3808
FR,3584
UA,3584
CL,3488
GB,2944
CH,2656
MX,2560
PE,2560
BR,2400
NZ,2304
BE,1824
JP,1728
MY,1536
CO,1536
ES,1536
IE,1280
PL,1280
NG,1088
SG,1024
IT,896
PH,768
NL,768
AT,768
GR,672
DK,640
PT,640
EG,608
CZ,608
AQ,512
NO,416
LT,384
HU,384
BG,384
SE,384
HR,384
TO,320
MD,320
SI,320
SK,320
RO,320
GU,256
PR,256
VI,256
DO,256
PA,256
EC,256
EE,224
RE,192
YT,192
GE,192
TT,192
AL,192
MK,192
MT,192
RS,192
LV,192
SB,192
FJ,192
FI,192
LU,192
IS,192
JM,192
BB,192
BL,192
DM,192
GD,192
GP,192
LC,192
MF,192
MQ,192
HT,192
GG,128
MZ,128
RW,128
KE,128
GF,128
SV,128
CK,128
PN,128
BS,64
KY,64
CW,64
IN,64
