65.181.0.0/24,AU,AU-NSW,Sydney,
65.181.1.0/24,AU,AU-NSW,Sydney,
65.181.2.0/24,AU,AU-NSW,Sydney,
65.181.3.0/24,AU,AU-NSW,Sydney,
65.181.4.0/24,JP,JP-13,Tokyo,
65.181.5.0/24,JP,JP-13,Tokyo,
65.181.6.0/24,JP,JP-13,Tokyo,
65.181.7.0/24,JP,JP-13,Tokyo,
65.181.8.0/24,PH,PH-00,Manila,
65.181.9.0/24,PH,PH-00,Manila,
65.181.12.0/24,AU,AU-NSW,Sydney,
65.181.13.0/24,AU,AU-NSW,Sydney,
65.181.14.0/24,AU,AU-NSW,Sydney,
65.181.15.0/24,AU,AU-NSW,Sydney,
65.181.16.0/24,MY,MY-14,Kuala Lumpur,
65.181.17.0/24,MY,MY-14,Kuala Lumpur,
65.181.18.0/24,MY,MY-14,Kuala Lumpur,
65.181.19.0/24,MY,MY-14,Kuala Lumpur,
65.181.20.0/24,AU,AU-WA,Perth,
65.181.21.0/24,AU,AU-WA,Perth,
65.181.22.0/24,AU,AU-WA,Perth,
65.181.23.0/24,AU,AU-WA,Perth,
65.181.24.0/24,MY,MY-14,Kuala Lumpur,
65.181.25.0/24,MY,MY-14,Kuala Lumpur,
65.181.26.0/24,SG,SG-SG,Singapore,
65.181.27.0/24,SG,SG-SG,Singapore,
65.181.28.0/24,SG,SG-SG,Singapore,
65.181.29.0/24,SG,SG-SG,Singapore,
98.97.0.0/24,US,US-IL,Chicago,
98.97.1.0/24,US,US-IL,Chicago,
98.97.2.0/24,US,US-IL,Chicago,
98.97.3.0/24,US,US-IL,Chicago,
98.97.4.0/24,US,US-IL,Chicago,
98.97.5.0/24,US,US-IL,Chicago,
98.97.6.0/24,US,US-IL,Chicago,
98.97.7.0/24,US,US-IL,Chicago,
98.97.8.0/24,US,US-IL,Chicago,
98.97.9.0/24,US,US-IL,Chicago,
98.97.10.0/24,US,US-IL,Chicago,
98.97.11.0/24,US,US-IL,Chicago,
98.97.12.0/24,US,US-IL,Chicago,
98.97.13.0/24,US,US-IL,Chicago,
98.97.14.0/24,US,US-IL,Chicago,
98.97.15.0/24,US,US-IL,Chicago,
98.97.16.0/24,US,US-NY,New York,
98.97.17.0/24,US,US-NY,New York,
98.97.18.0/24,US,US-NY,New York,
98.97.19.0/24,US,US-NY,New York,
98.97.20.0/24,US,US-NY,New York,
98.97.21.0/24,US,US-NY,New York,
98.97.22.0/24,US,US-NY,New York,
98.97.23.0/24,US,US-NY,New York,
98.97.24.0/24,US,US-NY,New York,
98.97.25.0/24,US,US-NY,New York,
98.97.26.0/24,US,US-NY,New York,
98.97.27.0/24,US,US-NY,New York,
98.97.28.0/24,US,US-NY,New York,
98.97.29.0/24,US,US-NY,New York,
