Chicago,20864
Seattle,13920
New York,12672
Toronto,12352
Dallas,9984
Winnipeg,8320
Atlanta,8192
Vancouver,7232
Calgary,6208
Los Angeles,6144
Denver,6144
Sydney,6016
Montreal,4160
Berlin,3808
Paris,3584
Kyiv,3584
Santiago,3488
London,2944
Zurich,2656
Mexico City,2560
Lima,2560
Sao Paulo,2400
Auckland,2304
Brussels,1824
Tokyo,1728
Kuala Lumpur,1536
Bogota,1536
Madrid,1536
Dublin,1280
Warsaw,1280
Lagos,1088
Perth,1024
Singapore,1024
Rome,896
Manila,768
Amsterdam,768
Vienna,768
Athens,672
Copenhagen,640
Lisbon,640
Cairo,608
Prague,608
Antarctica,512
Oslo,416
Vilnius,384
Budapest,384
Sofia,384
Stockholm,384
Zagreb,384
Nuku'alofa,320
Chisinau,320
Ljubljana,320
Bratislava,320
Bucharest,320
Hagatna,256
San Juan,256
Charlotte Amalie,256
Santo Domingo,256
Panama City,256
Quito,256
Tallinn,224
Saint-Denis,192
Mayotte,192
Tbilisi,192
Port of Spain,192
Tirana,192
Skopje,192
Valletta,192
Belgrade,192
Riga,192
Honiara,192
Suva,192
Helsinki,192
Luxembourg,192
Reykjavik,192
Kingston,192
Bridgetown,192
Gustavia,192
Roseau,192
Saint George,192
Basse-Terre,192
Castries,192
Marigot,192
Fort-de-France,192
Port-au-Prince,192
Saint Peter Port,128
Maputo,128
Kigali,128
Nairobi,128
Cayenne,128
San Salvador,128
Avarua District,128
Adamstown,128
Nassau,64
George Town,64
Willemstad,64
Delhi,64
