1,google.com,AS15169
2,youtube.com,AS15169
3,co.jp
4,wikipedia.org,AS14907
5,facebook.com,AS32934
6,tmall.com,AS37963
7,qq.com,AS4837
8,amazon.com,AS16509,AS3910
9,yahoo.com,AS26101,AS36647,AS36646,AS10310
10,sohu.com,AS23724,AS4134,AS4808,AS9808
11,baidu.com,AS23724,AS4134,AS9808
12,taobao.com,AS37963
13,nicovideo.jp,AS38634
14,com.sg
15,twitter.com,AS13414
16,fc2.com,AS16509
17,jd.com,AS16509
18,360.cn,AS23724
19,apple.com,AS714
20,ameblo.jp,AS54113
21,instagram.com,AS14618
22,netflix.com,AS16509
23,ebay.com,AS11643
24,com.cn
25,asos.com,AS2914,AS35994
26,microsoft.com,AS8075
27,live.com,AS8068
28,kakaku.com,AS59123
29,weibo.com,AS37936
30,office.com,AS8068,AS8075
