DE-CIX Marseille,107,FR,Marseille,www.de-cix.net
NAPAfrica IX Durban,106,ZA,Durban,www.napafrica.net
PTT Bras¨ªlia,106,BR,Bras¨ªlia,ix.br
PTT Florian¨®polis,105,BR,Florian¨®polis,ix.br
MSK-IX St. Petersburg,105,RU,St.Petersburg,www.msk-ix.ru
TOP-IX,104,IT,Turin,www.top-ix.org
IX Australia WA,104,AU,Perth,www.ix.asn.au
Equinix Palo Alto,103,US,Palo Alto,ix.equinix.com
Thinx,100,PL,Warsaw,www.atman.pl
DE-CIX Dallas,99,US,Dallas,www.de-cix.net
LL-IX,98,RO,Haarlem,www.ll-ix.com
Equinix Los Angeles,97,US,Los Angeles,ix.equinix.com
MegaIX Auckland,96,NZ,Auckland,megaport.com
cloudXchange,95,ID,Denpasar,cloudxchange.id
AKL-IX,94,NZ,Auckland,www.ix.nz
Lyonix,90,FR,Lyon,www.lyonix.net
DIX-IE,90,JP,Tokyo,nspixp.wide.ad.jp
APE,88,NZ,Auckland,ape.nzix.net
SFO-IX,88,RU,Barnaul,www.milecom.ru
France-IX Marseille,87,FR,Marseille,www.franceix.net
Crimea-IX,87,RU,Simferopol,crimea-ix.net
QIX Montreal,86,CA,Montreal,www.qix.ca
IX Australia QLD,86,AU,Brisbane,www.ix.asn.au
SFMIX,85,US,San Francisco,www.sfmix.org
JPIX Osaka,85,JP,Osaka,www.jpix.ad.jp
UAE-IX,83,AE,Dubai,www.uae-ix.net
PITER-IX Kiev,83,UA,§¬§Ú§Ö§Ó,piter-ix.eu
LocIX Dusseldorf,82,DE,Dusseldorf,locix.online
Digital Realty | Telx New York,81,US,New York,ix.digitalrealty.com
Sibir-IX,81,RU,Krasnoyarsk,www.sibir-ix.ru
PTT Campina Grande,81,BR,Campina Grande,ix.br
BBIX Osaka,80,JP,Osaka,www.bbix.net
JPNAP Osaka,78,JP,Osaka,www.jpnap.net
TPIX-TW,78,TW,Taipei,www.tpix.net.tw
WIX-NZ,77,NZ,Wellington,wix.nzix.net
YYCIX,76,CA,Calgary,yycix.ca
BIX Budapest,76,HU,Budapest,bix.hu
KINX,76,KR,Seoul,www.kinx.net
MINAP,75,IT,Milan,www.minap.it
BNIX,74,BE,Brussels,www.bnix.net
RED-IX,73,RU,Krasnoyarsk,webra.ru
PTT Maring¨¢,72,BR,Maring¨¢,ptt.br
DINX,72,ZA,Durban,www.inx.net.za
Any2 Denver,71,US,Denver,www.coresite.com
Equinix Frankfurt,71,DE,Frankfurt,www.equinix.de
LSIX,70,NL,The Hague,lsix.net
LU-CIX,70,LU,Luxembourg,www.lu-cix.lu
EdgeIX - Sydney,70,AU,Sydney,www.edgeix.net
ECIX Hamburg,69,DE,Hamburg,www.ecix.net
B-IX Balkans,69,BG,Sofia,www.b-ix.net
NIX,69,NO,Oslo,www.nix.no
PIRIX,68,RU,St.Petersburg,www.pirix.ru
Extreme IX Chennai,68,IN,Chennai,extreme-ix.org
PITER-IX Helsinki,68,FI,Helsinki,www.piter-ix.ru
ECIX Berlin,66,DE,Berlin,www.ecix.net
INXS by ecix,66,DE,Munich,www.ecix.net
PTT Vit¨®ria,66,BR,Vit¨®ria,ix.br
PTT Campinas,66,BR,Campinas,ix.br
VANIX,65,CA,Vancouver,www.vanix.ca
IX-Denver,65,US,Denver,ix-denver.org
BIX Jakarta,64,ID,Jakarta,
BBIX Singapore,64,SG,Singapore,www.bbix.net
MSK-IX Novosibirsk,64,RU,Novosibirsk,www.msk-ix.ru
DET-IX,63,US,Detroit,www.detroitix.com
CINX,63,ZA,Cape Town,www.inx.net.za
CIX KR,63,PL,Krakow,www.ix.krakow.pl
Mass-IX,62,US,Boston,www.mass-ix.net
ChIX,62,US,Chicago,unitedix.net
AMS-IX India,62,IN,Mumbai,ams-ix.in
AMS-IX Hong Kong,61,HK,Hong Kong,www.ams-ix.hk
NIXI Mumbai,60,IN,Mumbai,nixi.in
MegaIX Perth,60,AU,Perth,megaport.com
SOLIX,59,SE,Stockholm,www.sol-ix.net
Phoenix IX,58,US,Phoenix,www.phoenix-ix.net
Equinix London,58,GB,London,www.equinix.co.uk
UNMETERED Exchange,58,CA,Vancouver,unmetered.exchange
SIX.SK,57,SK,Bratislava,www.six.sk
Equinix Amsterdam,57,NL,Amsterdam,www.equinix.nl
FIXO,56,NO,Oslo,www.fixo.no
PTT Manaus,56,BR,Manaus,ix.br
GR-IX Athens,56,GR,Athens,www.gr-ix.gr
LINX NoVA,55,US,Northern Virginia,www.linx.net
NIX.SK,55,SK,Bratislava,www.nix.sk
VSIX,55,IT,Padova,www.vsix.it
Netnod Copenhagen,55,DK,Malmo,www.netnod.se
IXPN Lagos,55,NG,Lagos,www.ixp.net.ng
TOHU IX,55,CN,Guangzhou,ix.bairuo.top
IX Australia SA,54,AU,Adelaide,www.ix.asn.au
npIX,53,NP,Kathmandu,www.npix.net.np
PTT Natal,53,BR,Natal,ix.br
BALT-IX,53,LT,Vilnius,www.balt-ix.lt
Balcan-IX,52,RO,Bucharest,www.balcan-ix.net
DE-CIX Lisbon,52,PT,Lisbon,www.de-cix.net
DE-CIX ASEAN,52,MY,Johor Bahru,www.de-cix.asia
MSK-IX Ekaterinburg,51,RU,Ekaterinburg,www.msk-ix.ru
Boston IX,50,US,Boston,www.bostonix.net
Equinix Melbourne,49,AU,Melbourne,ix.equinix.com
PTT Londrina,49,BR,Londrina,ix.br
SBIX,49,CH,Zurich,www.securebit.ch
NSPIXP6,48,JP,Tokyo,www.wide.ad.jp
BFD-IX,47,GB,Bradford,bfd-ix.net
DIX,46,DK,Copenhagen,www.dix.dk
CATNIX,46,ES,Barcelona,www.catnix.net
BBIX Hong Kong,46,HK,Hong Kong,www.bbix.net
CLOUD-IX MSK,46,RU,Moscow,www.cloud-ix.net
Equinix Zurich,45,CH,Zurich,www.equinix.ch
PIPE Networks Sydney,45,AU,Sydney,www.pipenetworks.com
EdgeIX - Perth,45,AU,Perth,www.edgeix.net
BKNIX,44,TH,Bangkok,bknix.co.th
GigaPix,44,PT,Lisbon,www.gigapix.pt
CIX,44,HR,Zagreb,www.cix.hr
SVAO-IX,44,RU,Moscow,www.svao-ix.ru
CIXP,44,CH,Geneva,www.cixp.net
PIT Peru,44,PE,Lima,www.pitperu.net
LocIX Netherlands,44,NL,Meppel,locix.online
PTT Bel¨¦m,43,BR,Bel¨¦m,ix.br
ESPANIX Upper LAN,42,ES,Madrid,www.espanix.net
PTT Goi?nia,42,BR,Goi?nia,ix.br
CNX,42,KH,Phnom Penh,cnx.net.kh
GetaFIX,41,PH,Manila,getafix.ph
SMILE-LV,41,LV,Riga,www.smile-ixp.net
MegaIX Singapore,41,SG,Singapore,megaport.com
MidWest-IX - Indy,41,US,Indianapolis,www.fd-ix.com
CABASE-COR,41,AR,C¨®rdoba,www.cabase.org.ar
KIXP Nairobi,41,KE,Nairobi,www.tespok.co.ke
QCIX,41,US,Davenport,www.qcix.net
CRIX,40,CR,San Jose,www.crix.cr
