source,target,value
AS721-DoDNetworkInformationCenter-US,AS27065-DoDNetworkInformationCenter-US,-1
AS721-DoDNetworkInformationCenter-US,AS27066-DoDNetworkInformationCenter-US,-1
AS724-DoDNetworkInformationCenter-US,AS27064-DoDNetworkInformationCenter-US,-1
AS1554-DoDNetworkInformationCenter-US,AS149-DoDNetworkInformationCenter-US,-1
AS1554-DoDNetworkInformationCenter-US,AS1551-DoDNetworkInformationCenter-US,-1
AS1554-DoDNetworkInformationCenter-US,AS1555-DoDNetworkInformationCenter-US,-1
AS1554-DoDNetworkInformationCenter-US,AS1556-DoDNetworkInformationCenter-US,-1
AS1554-DoDNetworkInformationCenter-US,AS1559-DoDNetworkInformationCenter-US,-1
AS1554-DoDNetworkInformationCenter-US,AS1562-DoDNetworkInformationCenter-US,-1
AS1554-DoDNetworkInformationCenter-US,AS1563-DoDNetworkInformationCenter-US,-1
AS1554-DoDNetworkInformationCenter-US,AS1565-DoDNetworkInformationCenter-US,-1
AS1554-DoDNetworkInformationCenter-US,AS1566-DoDNetworkInformationCenter-US,-1
AS1554-DoDNetworkInformationCenter-US,AS1567-DoDNetworkInformationCenter-US,-1
AS1554-DoDNetworkInformationCenter-US,AS1568-DoDNetworkInformationCenter-US,-1
AS1554-DoDNetworkInformationCenter-US,AS1569-DoDNetworkInformationCenter-US,-1
AS1554-DoDNetworkInformationCenter-US,AS1580-DoDNetworkInformationCenter-US,-1
AS1554-DoDNetworkInformationCenter-US,AS1585-DoDNetworkInformationCenter-US,-1
AS1554-DoDNetworkInformationCenter-US,AS1586-DoDNetworkInformationCenter-US,-1
AS1733-DoDNetworkInformationCenter-US,AS1913-DoDNetworkInformationCenter-US,0
AS1733-DoDNetworkInformationCenter-US,AS5237-DoDNetworkInformationCenter-US,0
AS1733-DoDNetworkInformationCenter-US,AS5306-DoDNetworkInformationCenter-US,0
AS1733-DoDNetworkInformationCenter-US,AS6034-DoDNetworkInformationCenter-US,0
AS1733-DoDNetworkInformationCenter-US,AS6035-DoDNetworkInformationCenter-US,0
AS1733-DoDNetworkInformationCenter-US,AS27046-DoDNetworkInformationCenter-US,0
AS1913-DoDNetworkInformationCenter-US,AS308-DoDNetworkInformationCenter-US,-1
AS2629-DoDNetworkInformationCenter-US,AS5972-DoDNetworkInformationCenter-US,0
AS3471-DoDNetworkInformationCenter-US,AS27033-DoDNetworkInformationCenter-US,0
AS3472-DoDNetworkInformationCenter-US,AS3538-DoDNetworkInformationCenter-US,0
AS3474-DoDNetworkInformationCenter-US,AS6045-DoDNetworkInformationCenter-US,0
AS3538-DoDNetworkInformationCenter-US,AS27137-DoDNetworkInformationCenter-US,0
AS3544-DoDNetworkInformationCenter-US,AS27137-DoDNetworkInformationCenter-US,0
AS5231-DoDNetworkInformationCenter-US,AS27139-DoDNetworkInformationCenter-US,0
AS5819-DoDNetworkInformationCenter-US,AS6045-DoDNetworkInformationCenter-US,0
AS5852-DoDNetworkInformationCenter-US,AS5853-DoDNetworkInformationCenter-US,0
AS5974-DoDNetworkInformationCenter-US,AS27153-DoDNetworkInformationCenter-US,0
AS6045-DoDNetworkInformationCenter-US,AS27138-DoDNetworkInformationCenter-US,0
AS27033-DoDNetworkInformationCenter-US,AS27139-DoDNetworkInformationCenter-US,0
AS27047-DoDNetworkInformationCenter-US,AS27069-DoDNetworkInformationCenter-US,0
AS27064-DoDNetworkInformationCenter-US,AS56-DoDNetworkInformationCenter-US,-1
AS27064-DoDNetworkInformationCenter-US,AS118-DoDNetworkInformationCenter-US,-1
AS27064-DoDNetworkInformationCenter-US,AS138-DoDNetworkInformationCenter-US,-1
AS27064-DoDNetworkInformationCenter-US,AS140-DoDNetworkInformationCenter-US,-1
AS27064-DoDNetworkInformationCenter-US,AS273-DoDNetworkInformationCenter-US,-1
AS27064-DoDNetworkInformationCenter-US,AS300-DoDNetworkInformationCenter-US,-1
AS27064-DoDNetworkInformationCenter-US,AS317-DoDNetworkInformationCenter-US,-1
AS27064-DoDNetworkInformationCenter-US,AS321-DoDNetworkInformationCenter-US,-1
AS27064-DoDNetworkInformationCenter-US,AS344-DoDNetworkInformationCenter-US,-1
AS27064-DoDNetworkInformationCenter-US,AS367-DoDNetworkInformationCenter-US,-1
AS27064-DoDNetworkInformationCenter-US,AS514-DoDNetworkInformationCenter-US,-1
AS27064-DoDNetworkInformationCenter-US,AS571-DoDNetworkInformationCenter-US,-1
AS27064-DoDNetworkInformationCenter-US,AS580-DoDNetworkInformationCenter-US,-1
AS27064-DoDNetworkInformationCenter-US,AS616-DoDNetworkInformationCenter-US,-1
AS27064-DoDNetworkInformationCenter-US,AS627-DoDNetworkInformationCenter-US,-1
AS27064-DoDNetworkInformationCenter-US,AS637-DoDNetworkInformationCenter-US,-1
AS27064-DoDNetworkInformationCenter-US,AS664-DoDNetworkInformationCenter-US,-1
AS27064-DoDNetworkInformationCenter-US,AS665-DoDNetworkInformationCenter-US,-1
AS27064-DoDNetworkInformationCenter-US,AS722-DoDNetworkInformationCenter-US,-1
