0, !, 185.1.68.3, AS60917, , DE-CIX Madrid, ES, Madrid
64, !, 138.204.248.252, AS52376, CABASE-SZP, CABASE IXP Saenz Peña Chaco, AR, Saenz Chaco Peña
65, !, 206.51.46.64, AS32184, Coresite - Any 2, CoreSite - Any2 Denver / Formerly RMIX, US, Denver
66, !, 194.68.128.42, AS19399, Netnod, Netnod Internet Exchange i Sverige AB, SE, Stockholm
67, !, 187.16.220.111, AS262375, PTT Sao Paulo, IX.br São Paulo, BR, SP Sao Paulo
68, !, 43.243.22.7, AS45177, MegaPort-IX Auckland, MegaPort-IX Auckland, NZ//Zealand New, Auckland
69, ?, 198.32.118.198, AS46489, Equinix-NY, Equinix-NY, Equinix New York, Equinix Internet Exchange New York, US, York New
70, !, 80.249.211.61, AS47927, AMS-IX, Amsterdam Internet Exchange, NL, Amsterdam
71, !, 196.10.140.57, AS37640, NAPAfrica, NAPAfrica Cape Town, ZA//Africa South, Cape Town
72, !, 192.145.251.101, AS1239, KINX, Korea Internet Neutral Exchange KINX, KR//Korea, Seoul
73, !, 206.126.237.84, AS32286, Equinix Ashburn, Equinix Ashburn Exchange, US, Ashburn
74, !, 218.100.52.114, AS2906, NSW-IX, , AU, Sydney NSW
75, !, 206.51.7.22, AS25861, KCIX, Kansas City Internet Exchange, US, City Kansas
76, !, 123.255.91.149, AS15133, HKIX, Hong Kong Internet Exchange, HK, Hong Kong
77, !, 206.126.236.124, AS393225, Equinix Ashburn, Equinix Ashburn Exchange, US, Ashburn
78, !, 195.42.145.18, AS56665, Equinix Paris, Equinix Internet Exchange Paris, FR, Paris
79, !, 103.16.102.67, AS7575, SGIX, Singapore Internet Exchange, SG, Singapore
80, !, 37.49.236.24, AS35625, France-IX, France-IX, FR, Paris
81, !, 185.6.36.91, AS198988, INEX LAN1, Internet Neutral Exchange Association Ltd., IE, Dublin
82, !, 80.249.210.238, AS31328, AMS-IX, Amsterdam Internet Exchange, NL, Amsterdam
83, !, 195.66.226.82, AS18106, LINX, London Internet Exchange, GB//Kingdom United, London
84, !, 80.249.209.48, AS23148, AMS-IX, Amsterdam Internet Exchange, NL, Amsterdam
85, !, 218.100.44.68, AS45668, MyIX, Malaysia Internet Exchange, MY, Lumpur Kuala
86, !, 193.37.144.8, AS61438, AAIX, Alpes Adria Internet Exchange, AT, Klagenfurt
87, !, 193.219.13.107, AS15440, LIPTAM, Lietuvos Interneto paslaugų tiekėjų apsikeitimo mazgu, LT, Vilnius
88, ?, 187.16.216.57, AS262822, PTT Sao Paulo, IX.br São Paulo, PTTMetro São Paulo, Ponto de Troca de Tráfego Metro São Paulo, BR, São Paulo
89, !, 206.108.34.167, AS7311, TORIX, Toronto Internet Exchange, CA, Toronto
90, !, 218.100.76.60, AS54113, IX Australia QLD, Queensland Internet Exchange, AU, Brisbane Queensland
91, !, 206.51.41.48, AS51185, Coresite - Any 2, Coresite - Any 2 Northern California, US, San Jose
92, !, 80.249.210.171, AS35574, AMS-IX, Amsterdam Internet Exchange, NL, Amsterdam
93, !, 206.72.210.171, AS32098, Any2, CoreSite - Any2 California, US, Valley Angeles and Silicon Los
94, !, 206.223.119.183, AS14586, Equinix Chicago IBX, Equinix Chicago IBX, US, Chicago
95, !, 91.212.235.23, AS43205, , OM-NIX, BG, Sofia
96, !, 91.213.236.14, AS197422, Touix, , FR, Toulouse
97, !, 193.156.90.15, AS8896, NIX1, Norwegian Internet Exchange Oslo 1, NO, Oslo
98, !, 123.255.90.188, AS38001, HKIX, Hong Kong Internet Exchange, HK, Hong Kong
99, !, 195.66.225.97, AS6774, LINX, London Internet Exchange, GB//Kingdom United, London
100, !, 103.247.139.32, AS58779, AMS-IX Hong Kong, AMS-IX Hong Kong, HK, Hong Kong
101, !, 206.126.236.219, AS32787, Equinix Ashburn, Equinix Ashburn Exchange, US, Ashburn
102, !, 193.188.137.45, AS62214, BIX, Budapest Internet Exchange, HU, Budapest
103, !, 193.108.98.254, AS16243, NDIX, Nederlands-Duitse Internet Exchange, NL, Enschede
104, !, 80.249.209.222, AS16243, AMS-IX, Amsterdam Internet Exchange, NL, Amsterdam
105, ?, 206.197.210.32, AS20940, DRFxchange, DRFxchange, DRF IX, DRFortress Exchange, US, Honolulu
106, !, 194.53.172.101, AS16265, BNIX, Belgian National Internet Exchange, BE, Brussels
107, !, 194.68.123.67, AS197430, Netnod, Netnod Internet Exchange i Sverige AB, SE, Stockholm
108, !, 198.32.124.180, AS12041, NOTA, NAP of the Americas, US, Miami
109, !, 206.223.118.102, AS20940, Equinix IBX Dallas, Equinix IBX Dallas, US, Dallas
110, !, 206.53.170.14, AS10310, MegaIX Ashburn, Megaport MegaIX Ashburn, US, Ashburn
111, ?, 187.16.219.53, AS262778, PTT Sao Paulo, IX.br São Paulo, PTTMetro São Paulo, Ponto de Troca de Tráfego Metro São Paulo, BR, São Paulo
112, !, 206.81.81.108, AS58511, SIX, Seattle Internet Exchange, US, Seattle
113, !, 37.49.236.158, AS61319, France-IX, France-IX, FR, Paris
114, !, 195.208.208.147, AS28917, MSK-IX Moscow, MSK-IX Moscow, RU, Moscow
115, !, 206.108.114.12, AS29881, TPAIX, Tampa Internet Exchange, US, Tampa
