58850,"BBGINETCN - Bloomberg Financial Information (Beijing) Co Ltd, CN",4812,"CHINANET-SH-AP - China Telecom (Group), CN"
59083,"KHTech - Shanghai Kuanhui Tech. Co.,ltd, CN",4812,"CHINANET-SH-AP - China Telecom (Group), CN"
63580,"Novartis-CN - China Novartis Institutes for Bio-Medical Research Co., Ltd., CN",4812,"CHINANET-SH-AP - China Telecom (Group), CN"
63617,"McKinsey - McKinsey & Consulting Company Inc. Shanghai, CN",4812,"CHINANET-SH-AP - China Telecom (Group), CN"
63641,"MVNET - Mega Vantage Information Consulting Co., Ltd., CN",4812,"CHINANET-SH-AP - China Telecom (Group), CN"
63697,"CSCNET - China Securities Co., Ltd, CN",4812,"CHINANET-SH-AP - China Telecom (Group), CN"
131536,"SHGWBNNET - Shanghai Great Wall Broadband Network Service Co., Ltd., CN",4812,"CHINANET-SH-AP - China Telecom (Group), CN"
137715,"GTJANET - GTJA Securities, CN",4812,"CHINANET-SH-AP - China Telecom (Group), CN"
137767,"SGMNET - Shanghai General Motor Corporation Limited, CN",4812,"CHINANET-SH-AP - China Telecom (Group), CN"
137782,"SHDCCENTRE - STATE GRID SHANGHAI MUNICIPAL ELECTRIC POWER COMPANY, CN",4812,"CHINANET-SH-AP - China Telecom (Group), CN"
137784,"Cacloud - CACloud Services (Shanghai) Co., Ltd., CN",4812,"CHINANET-SH-AP - China Telecom (Group), CN"
139091,"SHMBN - Shanghai MBN telecommunication technology Co., LTD., CN",4812,"CHINANET-SH-AP - China Telecom (Group), CN"
4837,"CHINA169-Backbone - CHINA UNICOM China169 Backbone, CN",17621,"CNCGROUP-SH - China Unicom Shanghai network, CN"
9808,"CMNET-GD - China Mobile, CN",24400,"CMNET-V4shanghai-AS-AP - China Mobile, CN"
9808,"CMNET-GD - China Mobile, CN",56041,"CMNET-Zhejiang-AP - China Mobile Communications Corporation, CN"
9929,"CUII - CHINA UNICOM  Industrial  Internet Backbone, CN",17621,"CNCGROUP-SH - China Unicom Shanghai network, CN"
9809,"NovaNetwork - SHENZHEN NOVA TECHNOLOGIES DEVELOPMENT.,LTD., CN",17621,"CNCGROUP-SH - China Unicom Shanghai network, CN"
9814,"FibrLINK - Beijing FibrLINK Networks Co.,Ltd., CN",17621,"CNCGROUP-SH - China Unicom Shanghai network, CN"
9939,"ANLAI-AP - AS for Anlai, CN",17621,"CNCGROUP-SH - China Unicom Shanghai network, CN"
10212,"CHINAENTERCOM - China Enterprise ICT Solutions Limited, CN",17621,"CNCGROUP-SH - China Unicom Shanghai network, CN"
17739,"HAPLINK-CN-AP - Shanghai Telecom Haplink Network Co Ltd (Haplink), CN",17621,"CNCGROUP-SH - China Unicom Shanghai network, CN"
17775,"STN-CN - shanghai science and technology network communication limited company, CN",17621,"CNCGROUP-SH - China Unicom Shanghai network, CN"
18244,"STIDC - Stateline Internet Data Center Co., Ltd. Shanghai, CN",17621,"CNCGROUP-SH - China Unicom Shanghai network, CN"
23848,"PINGANCOM - Shenzhen Ping An Communication Technology Co.,Ltd, CN",17621,"CNCGROUP-SH - China Unicom Shanghai network, CN"
23853,"CNNIC-DSNET-AP - Shanghai Data Solution Co., Ltd., CN",17621,"CNCGROUP-SH - China Unicom Shanghai network, CN"
24141,"CNNIC-DMTNET-AP - Shanghai DMT Information Network cor.,LTD., CN",17621,"CNCGROUP-SH - China Unicom Shanghai network, CN"
24427,"CNNIC-FREENET - Freecomm Corporation, CN",17621,"CNCGROUP-SH - China Unicom Shanghai network, CN"
37963,"CNNIC-ALIBABA-CN-NET-AP - Hangzhou Alibaba Advertising Co.,Ltd., CN",17621,"CNCGROUP-SH - China Unicom Shanghai network, CN"
37965,"CNNIC-PBSL-AP - Pacnet Business Solutions LTD, CN",17621,"CNCGROUP-SH - China Unicom Shanghai network, CN"
38057,"DellChina - Dell (China) Co.,Ltd, CN",17621,"CNCGROUP-SH - China Unicom Shanghai network, CN"
38342,"CNNIC-SVCNET-AP - SHANGHAI VSAT NETWORK SYSTEMS CO.,LTD, CN",17621,"CNCGROUP-SH - China Unicom Shanghai network, CN"
38363,"CNNIC-HighwayNet-AP - Shanghai Highway Information Technology Co.,Ltd, CN",17621,"CNCGROUP-SH - China Unicom Shanghai network, CN"
38375,"CNNIC-BJGH-AP - Beijing Gao Hua Securities Company Limited, CN",17621,"CNCGROUP-SH - China Unicom Shanghai network, CN"
38379,"CNNIC-SUN-AP - Shanghai Maginetwork Cro,.Ltd., CN",17621,"CNCGROUP-SH - China Unicom Shanghai network, CN"
38381,"CNNIC-TRAVELSKY-AP - Travelsky Technology Limited, CN",17621,"CNCGROUP-SH - China Unicom Shanghai network, CN"
45061,"CNNIC-SIN-AP - Shanghai Information Network Co.,Ltd., CN",17621,"CNCGROUP-SH - China Unicom Shanghai network, CN"
45079,"GDSNET - GDS CHANGAN SERVICES Ltd., CN",17621,"CNCGROUP-SH - China Unicom Shanghai network, CN"
45086,"YOVOLE - Shanghai Yovole Networks Inc., CN",17621,"CNCGROUP-SH - China Unicom Shanghai network, CN"
45090,"CNNIC-TENCENT-NET-AP - Shenzhen Tencent Computer Systems Company Limited, CN",17621,"CNCGROUP-SH - China Unicom Shanghai network, CN"
55956,"CNNIC-Magna-Asiapacific-AP - Magna Automotive Technology and Service(Shanghai)Co.,Ltd, CN",17621,"CNCGROUP-SH - China Unicom Shanghai network, CN"
55958,"intel-china - Intel China Ltd, CN",17621,"CNCGROUP-SH - China Unicom Shanghai network, CN"
55990,"HWCSNET - Huawei Cloud Service data center, CN",17621,"CNCGROUP-SH - China Unicom Shanghai network, CN"
55992,"QIHOO - Beijing Qihu Technology Company Limited, CN",17621,"CNCGROUP-SH - China Unicom Shanghai network, CN"
55994,"ANCHNET - ShangHai AnchNet Tec, Inc., CN",17621,"CNCGROUP-SH - China Unicom Shanghai network, CN"
55996,"CYPRESSTEL - CYPRESS TELECOM (CHINA) LIMITED, CN",17621,"CNCGROUP-SH - China Unicom Shanghai network, CN"
56000,"HERBALIFE-CNNET - Herbalife (China) Health Products Ltd., CN",17621,"CNCGROUP-SH - China Unicom Shanghai network, CN"
56001,"ZSN - Shanghai Chenyi Network Technology Co.,Ltd, CN",17621,"CNCGROUP-SH - China Unicom Shanghai network, CN"
56006,"SPDB-CN - Shanghai Pudong Development Bank Co.,Ltd., CN",17621,"CNCGROUP-SH - China Unicom Shanghai network, CN"
56013,"SDSC - SAMSUNG SDS CHINA, CN",17621,"CNCGROUP-SH - China Unicom Shanghai network, CN"
