AS36692,"""Cisco OpenDNS,OPENDNS",US,182
AS2635,"""Automattic,AUTOMATTIC",US,179
AS11404,"Wave Broadband,AS-WAVE-1",US,175
AS32098,"Transtelco Inc,TRANSTELCO-INC",US,173
AS2152,"""California State University,CSUNET-NW",US,172
AS40676,"Psychz Networks,AS40676",US,171
AS3856,"""Packet Clearing House,PCH-AS",US,171
AS33353,"Sony Interactive Entertainment LLC,SIE-CGEI-ASN-1",US,170
AS30081,"""CacheNetworks,CACHENETWORKS",US,169
AS6507,"""Riot Games,RIOT-NA1",US,168
AS33667,"""Comcast Cable Communications,CMCS",US,167
AS33132,"Fibernet Direct,FIBERNET-DIRECT",US,166
AS30286,"ThreatMetrix Inc.,THM",US,165
AS26415,"VeriSign Global Registry Services,VERISIGN-INC",US,165
AS11164,"Internet2,INTERNET2-I2PX",US,164
AS23520,"""Columbus Networks USA,COLUMBUS-NETWORKS",US,162
AS396986,"Bytedance Inc.,BYTEDANCE",US,162
AS33287,"""Comcast Cable Communications,COMCAST-33287",US,161
AS22697,"Roblox,ROBLOX-PRODUCTION",US,159
AS12200,"Rackspace Hosting,RACKSPACE",US,159
AS13984,"SD Data Center,SD-DATA-CENTER",US,158
AS22363,"""Powerhouse Management,PHMGMT-AS1",US,158
AS40850,"UPIX NETWORKS INTERNATIONAL LLC,AS-UPIX-40850",US,155
AS11427,"Charter Communications Inc,TWC-11427-TEXAS",US,155
AS29802,"""HIVELOCITY,HVC-AS",US,154
AS63949,"""Linode,LINODE-AP",US,154
AS23005,"""SWITCH,SWITCH-LTD",US,153
AS13445,"Cisco Webex LLC,13445",US,152
AS19996,"CoreSite,ANY2-RS-WEST",US,150
AS46450,"""Pilot Fiber,PILOT",US,150
AS40627,"RingCentral Inc,RC-COLO1",US,146
AS17117,"""RITSnet,RITSNET",US,144
AS2687,"""AT&T Global Network Services,ATGS-MMD-AS",US,143
AS12189,"PhoenixNAP LLC,AS12189",US,141
AS19679,"""Dropbox,DROPBOX",US,140
AS3561,"""CenturyLink Communications,CENTURYLINK-LEGACY-SAVVIS",US,136
AS55002,"""Defense.Net,DEFENSE-NET",US,135
AS63199,"""CDS Global Cloud Co.,CDSC-AS1",US,133
AS15164,"Unite Private Networks LLC.,UPNLLC",US,131
AS63399,"""Dialpad,DIALPAD",US,130
AS46562,"Performive LLC,PERFORMIVE",US,129
AS7979,"""Servers.com,SERVERS-COM",US,127
AS62,"CyrusOne LLC,CONE",US,126
AS7385,"Nuvera,ALLSTREAM",US,126
AS53766,"""VMWare,VMWARE",US,125
AS33657,"""Comcast Cable Communications,CMCS",US,123
AS14340,"""Salesforce.com,SALESFORCE",US,122
AS11537,"Internet2,INTERNET2-RESEARCH-EDU",US,121
AS14593,"Space Exploration Technologies Corporation,SPACEX-STARLINK",US,120
AS703,"Verizon Business,UUNET",US,119
AS27630,"XFERNET,AS-XFERNET",US,119
AS20001,"Charter Communications Inc,TWC-20001-PACWEST",US,119
AS7016,"""Comcast Cable Communications,CCCH-3",US,114
AS12041,"""Afilias,AS-AFILIAS1",US,112
AS202,"""Level 3 Parent,CENTURYLINK-LEGACY-LVLT-202",US,112
AS7795,"""LUMOS Networks,LUMOS",US,112
AS53334,"""Total Uptime Technologies,TUT-AS",US,109
AS11796,"""Airstream Communications,AIRSTREAMCOMM-NET",US,109
AS396356,"Maxihost LLC,MAXIHOST",US,108
AS62713,"""PubMatic,AS-PUBMATIC",US,108
AS12129,"""123.Net,123NET",US,107
AS26554,"""US Signal Company,US-SIGNAL",US,107
AS7489,"HostUS Solutions LLC,HOSTUS-GLOBAL-AS",US,103
AS30103,"""Zoom Video Communications,ZOOM-VIDEO-COMM-AS",US,102
AS13896,"FUZE INC,THINKINGPHONES",US,102
AS8757,"""NSFOCUS,NSFOCUS",US,99
AS32097,"""WholeSale Internet,WII",US,98
AS46786,"IP Transit Inc.,IPTRANSIT",US,98
AS26667,"""The Rubicon Project,RUBICONPROJECT",US,96
AS36086,"Telx,TELX-LEGACY",US,95
AS62715,"Code 42 Software,CODE42",US,95
AS6082,"""IPiFony Systems,IPIFONY-AS",US,94
AS20278,"""Nexeon Technologies,NEXEON",US,94
AS7160,"Oracle Corporation,NETDYNAMICS",US,94
AS23028,"Team Cymru Inc.,TEAM-CYMRU",US,94
AS1280,"""Internet Systems Consortium,ISC-AS-1280",US,93
AS20055,"Wholesail networks LLC,AS-WHOLESAIL",US,93
AS33668,"""Comcast Cable Communications,CMCS",US,93
AS112,"DNS-OARC,ROOTSERV",US,92
AS19108,"Suddenlink Communications,SUDDENLINK-COMMUNICATIONS",US,91
