AS24429,"""Alibaba (US) Technology Co.,Taobao",US,3,2,1
AS24516,"Virtutel Pty Ltd,VIRTUTEL-AS-AP",AU,3,12,-9
AS38880,"Micron21 Datacentre Pty Ltd,M21-AS-AP",AU,3,12,-9
AS39351,"31173 Services AB,ESAB-AS",SE,3,6,-3
AS58952,"""Frontiir Co.,FRONTIIRCOLTD-MM",MM,3,9,-6
AS59605,"MENA LEVANT W.L.L,ZAINGP-AS",BH,3,12,-9
AS4058,"CITIC Telecom International CPC Limited,CITICTEL-CPC-AS4058",HK,3,1,2
AS4608,"Asia Pacific Network Information Centre,APNIC-SERVICES",AU,3,3,0
AS10099,"China Unicom (Hong Kong) Operations Limited,UNICOM-Global",HK,3,4,-1
AS137557,"""International gateway co.,IGCL-AS-AP",TH,3,7,-4
AS17213,"SUPERSAFECLOUD LLC,SSCLOUD",US,3,0,3
AS133847,"Anpple Tech Enterprise,ICT-AS-AP",MY,3,1,2
AS53587,"""AZURE TECHNOLOGY CO.,AZT",US,3,2,1
AS293,"ESnet,ESNET",US,2,4,-2
AS559,"SWITCH,SWITCH",CH,2,5,-3
AS1239,"Sprint,SPRINTLINK",US,2,4,-2
AS2152,"""California State University,CSUNET-NW",US,2,0,2
AS3223,"Voxility LLP,VOXILITY",GB,2,5,-3
AS3267,"""Federal State Institution """"Federal Scientific Research Institute for System Analysis of the Russian Academy of Sciences"""""",RUNNET",RU,2,2,0
AS3292,"TDC A/S,TDC",DK,2,2,0
AS3614,"""Dell,DELL-BLK",US,2,0,2
AS5713,"Telkom SA Ltd.,SAIX-NET",ZA,2,7,-5
AS8426,"Claranet Limited,CLARANET-AS",GB,2,6,-4
AS8447,"A1 Telekom Austria AG,A1TELEKOM-AT",AT,2,5,-3
AS10310,"Oath Holdings Inc.,YAHOO-1",US,2,1,1
AS12637,"SEEWEB s.r.l.,SEEWEB",IT,2,2,0
AS12779,"IT.Gate S.p.A.,ITGATE",IT,2,6,-4
AS14537,"Continent 8 LLC,CL-1379-14537",US,2,4,-2
AS15547,"netplus.ch SA,NETPLUS",CH,2,5,-3
AS15605,"Connesi s.p.a.,CONNESI",IT,2,5,-3
AS20764,"CJSC RASCOM,RASCOM-AS",RU,2,8,-6
AS20932,"Services Industriels de Geneve,SIG-ST",CH,2,4,-2
AS25091,"IP-Max SA,IP-MAX",CH,2,6,-4
AS28917,"""Fiord Networks,Fiord-AS",LT,2,6,-4
AS30844,"Liquid Telecommunications Ltd,LIQUID-AS",GB,2,4,-2
AS31019,"Paulus M. Hoogsteder,MEANIE",NL,2,5,-3
AS31133,"PJSC MegaFon,MF-MGSM-AS",RU,2,5,-3
AS33891,"Core-Backbone GmbH,CORE-BACKBONE",DE,2,5,-3
AS34224,"Neterra Ltd.,NETERRA-AS",BG,2,6,-4
AS34288,"Kantonsschule Zug,AS34288",CH,2,5,-3
AS35280,"ACORUS NETWORKS SAS,ACORUS",FR,2,6,-4
AS35598,"Inetcom LLC,INETCOM",RU,2,7,-5
AS37468,"Angola Cables,ANGOLA-CABLES",AO,2,4,-2
AS37497,"Network Platforms (PTY) LTD,Network-Platforms",ZA,2,6,-4
AS39122,"Blacknight Internet Solutions Limited,BLACKNIGHT-AS",IE,2,6,-4
AS39737,"Net Vision Telecom SRL,Prime-Telecom-AS",RO,2,4,-2
AS41805,"SAWAD LAND for Information Technology Ltd,IQ-SAWADLAND-AS",IQ,2,7,-5
AS47147,"ANEXIA Internetdienstleistungs GmbH,AS-ANX",AT,2,6,-4
AS47957,"Compagnie Industrielle Et Financiere D' Ingenierie Ingenico SA,ING-AS",FR,2,5,-3
AS48362,"Stadtwerke Feldkirch,TKSWF-AS",AT,2,5,-3
AS49605,"Digital Telecommunication Services S.r.l.,DTS-AS",IT,2,5,-3
AS50629,"LWLcom GmbH,LWLCOM",DE,2,7,-5
AS51184,"Fonira Telekom GmbH,FONIRA",AT,2,6,-4
AS52320,"""GlobeNet Cabos Submarinos Colombia,",CO,2,6,-4
AS56665,"Proximus Luxembourg S.A.,TANGO-TELINDUS",LU,2,5,-3
AS57695,"""Misaka Network,MISAKA",US,2,7,-5
AS58057,"Securebit AG,SECUREBIT",CH,2,7,-5
AS59890,"Kabel-TV Lampert GmbH & Co KG,Kabel-TV-Lampert",AT,2,4,-2
AS61568,"ALOO TELECOM - FSF TECNOLOGIA SA,",BR,2,7,-5
AS61955,"ColocationIX GmbH,ColocationIX-AS",DE,2,6,-4
AS199283,"STRUCTURED COMMUNICATIONS LIMITED,UKSCOMMS-AS",GB,2,0,2
AS207044,"Enet Telecommunications Networks Limited,ENET-AS",IE,2,1,1
AS207841,"Inferno Communications Ltd,INFERNO",GB,2,1,1
AS264479,"Turbozone Internet,",BR,2,6,-4
AS271253,"LINK BRASIL TELECOMUNICACOES LTDA,",BR,2,6,-4
AS328832,"Network Platforms (PTY) LTD,Network-Platforms-International",ZA,2,4,-2
AS398465,"""Rackdog,RACKDOG-LLC",US,2,4,-2
AS11528,"Photronics Inc.,PHOTRONICS",US,2,0,2
AS16625,"""Akamai Technologies,AKAMAI-AS",US,2,0,2
AS18018,"Gamebuilders Inc.,GAMEBUILDERS-AS-PH",PH,2,0,2
AS132046,"Sunbridge worldwide LTD,SUNBRIDGE-PH-AS-AP",PH,2,0,2
AS133089,"Qualcomm Inc,QUALCOMM-TW-AS-AP",US,2,0,2
AS133747,"TRIUMPH DYNASTY Limited,TRIUMPH-AS-AP",WS,2,0,2
AS4809,"China Telecom,CHINATELECOM-CORE-WAN-CN2",CN,2,0,2
AS6079,"RCN,RCN-AS",US,2,1,1
AS6453,"TATA COMMUNICATIONS (AMERICA) INC,AS6453",US,2,11,-9
AS6667,"Elisa Oyj,EUNET-FINLAND",FI,2,2,0
AS31972,"""Emagine Concept,EMGINECONCEPT-01",US,2,1,1
AS10764,"National Center for Supercomputing Applications,STARTAP",US,2,0,2
AS20965,"GEANT Vereniging,GEANT",NL,2,3,-1
AS9930,"TT DOTCOM SDN BHD,TTNET-MY",MY,2,1,1
AS11164,"Internet2,INTERNET2-I2PX",US,2,1,1
AS32787,"""Akamai Technologies,PROLEXIC-TECHNOLOGIES-DDOS-MITIGATION-NETWORK",US,2,2,0
AS38325,"WTP Resources Pte Ltd,WTP-AS-AP",SG,2,0,2
AS53828,"""NETWORK INNOVATIONS,NITEL",US,2,5,-3
AS59318,"S.I Group,SINET-KH",KH,2,4,-2
