1,208,20,188
3,1,0,1
6,1,0,1
7,2,0,2
8,2,0,2
9,1,0,1
13,2,0,2
16,1,0,1
17,2,1,1
22,5,0,5
25,3,1,2
26,2,0,2
27,2,0,2
31,2,0,2
32,1,0,1
33,4,2,2
34,2,0,2
35,1,0,1
38,5,1,4
41,1,0,1
43,2,0,2
45,1,0,1
46,3,0,3
48,2,0,2
49,1,0,1
50,2,0,2
52,3,0,3
55,2,0,2
68,1,0,1
70,2,0,2
71,7,0,7
72,1,0,1
73,2,0,2
74,1,0,1
77,2,0,2
80,1,0,1
81,5,0,5
83,2,0,2
87,1,0,1
88,3,0,3
90,3,0,3
93,7,0,7
97,7,1,6
99,1,0,1
103,5,2,3
109,3,0,3
111,2,0,2
114,10,1,9
125,1,0,1
127,2,0,2
131,3,0,3
132,3,1,2
137,7,2,5
140,2,0,2
144,2,0,2
145,30,8,22
146,1,0,1
157,2,0,2
159,1,0,1
160,2,0,2
163,1,0,1
174,51,23,28
175,2,0,2
194,4,1,3
195,3,0,3
196,1,0,1
199,1,0,1
201,2,0,2
204,1,0,1
209,3,0,3
210,1,0,1
217,3,1,2
224,2,0,2
225,3,0,3
226,11,2,9
234,1,0,1
237,7,2,5
239,1,0,1
266,5,1,4
268,1,0,1
270,1,0,1
271,1,0,1
278,7,0,7
284,2,0,2
286,72,47,25
288,3,0,3
291,1,0,1
292,1,0,1
293,108,73,35
297,29,14,15
298,1,1,0
299,1,0,1
302,2,0,2
376,2,0,2
377,2,0,2
378,1,0,1
400,2,0,2
419,1,1,0
423,1,0,1
450,4,3,1
454,1,0,1
456,1,0,1
466,1,0,1
488,1,0,1
489,1,0,1
509,1,0,1
513,5,1,4
517,6,2,4
523,1,0,1
544,1,0,1
549,7,1,6
552,1,0,1
555,1,0,1
557,2,0,2
559,2,0,2
565,1,0,1
568,15,8,7
577,19,1,18
600,5,0,5
611,1,0,1
613,2,0,2
625,1,0,1
636,1,0,1
655,1,0,1
668,20,8,12
679,2,0,2
681,3,0,3
683,3,1,2
684,1,0,1
685,17,1,16
686,1,0,1
687,1,0,1
693,3,1,2
700,1,0,1
701,646,34,612
702,77,15,62
703,11,1,10
705,1,0,1
714,2,0,2
715,3,0,3
719,2,1,1
721,1,0,1
724,3,0,3
744,1,0,1
745,4,0,4
760,2,1,1
762,2,0,2
763,1,0,1
764,1,0,1
766,2,1,1
772,1,0,1
786,11,5,6
789,2,0,2
790,2,1,1
800,1,0,1
802,1,0,1
803,1,0,1
808,1,0,1
812,2,0,2
813,1,0,1
814,4,0,4
815,4,1,3
816,16,2,14
817,3,1,2
826,1,0,1
831,1,0,1
834,1,0,1
838,2,0,2
839,1,0,1
841,1,0,1
852,7,1,6
854,2,0,2
855,2,0,2
1103,10,4,6
1104,1,0,1
1113,1,0,1
1114,1,0,1
1117,1,0,1
1119,1,0,1
1124,1,1,0
1126,2,1,1
1129,2,0,2
1133,2,0,2
1136,9,0,9
1137,3,0,3
1138,2,0,2
1140,3,0,3
1198,3,3,0
1201,2,1,1
1205,2,1,1
1206,1,0,1
1213,4,1,3
1220,1,0,1
1221,39,0,39
1224,3,0,3
1225,16,3,13
1226,1,0,1
1227,1,0,1
1236,2,0,2
1237,3,0,3
1238,1,0,1
1239,384,32,352
1241,9,0,9
1248,1,0,1
1251,1,0,1
1254,1,0,1
1257,8,3,5
1262,1,0,1
1263,2,0,2
1267,7,0,7
1270,6,0,6
1273,17,5,12
1275,9,1,8
1276,1,0,1
1280,15,8,7
1290,8,2,6
1292,2,1,1
1299,18,8,10
1312,3,0,3
1321,6,0,6
1322,2,0,2
1323,9,9,0
1324,8,0,8
1325,11,1,10
1326,8,0,8
1327,11,1,10
1328,3,1,2
1329,1,0,1
1330,4,0,4
1331,4,1,3
1332,6,0,6
1333,2,0,2
1334,6,0,6
1335,7,0,7
1341,1,0,1
1342,1,0,1
1347,7,0,7
1461,1,0,1
1556,1,0,1
1559,1,0,1
1562,1,0,1
1564,1,0,1
1565,1,0,1
1568,1,0,1
1569,1,0,1
1570,1,0,1
1573,1,1,0
1589,2,1,1
1591,1,0,1
1601,1,0,1
1653,8,2,6
1657,1,0,1
1659,1,0,1
1660,2,0,2
1661,1,0,1
1662,2,0,2
1664,2,0,2
1667,3,1,2
1668,1,0,1
1670,2,0,2
1672,1,0,1
1673,69,37,32
1674,1,0,1
1675,4,0,4
1677,3,0,3
1678,1,0,1
1679,1,0,1
1680,2,0,2
1681,2,1,1
1682,1,0,1
1683,1,0,1
1686,2,0,2
1687,1,0,1
1689,1,0,1
1691,3,0,3
1693,1,0,1
1694,2,0,2
1695,1,0,1
1697,1,0,1
1698,1,0,1
1699,2,0,2
1706,1,0,1
1717,2,0,2
1732,1,0,1
1739,1,0,1
1740,75,39,36
1741,9,1,8
1742,1,0,1
1744,1,0,1
1746,9,6,3
1747,1,0,1
1749,1,0,1
1754,1,0,1
1755,80,8,72
1757,1,0,1
1759,20,3,17
1760,5,0,5
1761,2,0,2
1767,3,0,3
1776,2,0,2
1778,2,0,2
1781,1,0,1
1784,3,0,3
1785,10,0,10
1789,1,0,1
1790,1,0,1
1797,1,0,1
1798,3,1,2
1800,21,8,13
1808,1,0,1
1829,2,1,1
1830,4,0,4
1831,1,0,1
1833,5,1,4
1835,2,0,2
1836,1,0,1
1839,1,0,1
1840,1,0,1
1842,2,0,2
1849,36,29,7
1850,2,0,2
1852,10,1,9
1853,15,2,13
1880,4,0,4
1882,1,0,1
1883,2,0,2
1887,7,3,4
1888,2,0,2
1890,13,2,11
1891,2,1,1
1897,1,0,1
1899,3,2,1
1901,4,3,1
1902,2,1,1
1906,1,0,1
1908,1,0,1
1909,1,0,1
1913,121,1,120
1914,2,1,1
1916,3,0,3
1922,1,1,0
1930,5,2,3
1932,2,0,2
1955,9,1,8
1957,1,1,0
1967,2,0,2
1970,1,0,1
1975,2,0,2
1978,1,0,1
1982,7,0,7
1984,1,0,1
1986,1,0,1
1991,1,0,1
1998,1,0,1
2003,1,0,1
2007,1,0,1
2008,1,0,1
2011,1,0,1
2012,3,0,3
2015,3,0,3
2018,2,1,1
2019,1,0,1
2024,2,0,2
2027,1,0,1
2028,1,0,1
2033,3,1,2
2036,1,0,1
2041,50,11,39
2042,3,0,3
2044,4,0,4
2048,1,0,1
2052,2,0,2
2056,3,0,3
2107,2,1,1
2108,2,0,2
2109,2,1,1
2110,1,0,1
2116,2,0,2
2117,1,0,1
2118,18,15,3
2120,1,0,1
2128,1,0,1
2131,1,1,0
2134,1,0,1
2135,1,0,1
2140,2,0,2
2146,1,0,1
2148,1,0,1
2150,3,0,3
2274,1,0,1
2276,4,1,3
2277,1,0,1
2379,2,0,2
2380,2,0,2
2381,6,0,6
2486,2,1,1
2493,23,0,23
2494,1,1,0
2495,1,0,1
2497,99,67,32
2498,2,1,1
2500,14,5,9
2501,2,1,1
2502,2,1,1
2503,1,0,1
2504,2,0,2
2505,3,0,3
2506,3,0,3
2508,2,0,2
2510,5,1,4
2511,3,1,2
2512,1,0,1
2513,9,1,8
2514,11,1,10
2515,1,0,1
2516,34,2,32
2517,1,0,1
2518,2,1,1
2519,4,1,3
2520,2,0,2
2521,13,1,12
2522,1,0,1
2523,1,0,1
2524,2,0,2
2525,1,0,1
2526,2,0,2
2527,3,1,2
2528,1,0,1
2529,8,4,4
2532,2,0,2
2544,1,0,1
2546,1,0,1
2547,1,0,1
2548,121,17,104
2549,3,0,3
2551,21,12,9
2553,2,0,2
2554,3,1,2
2561,1,0,1
2563,1,0,1
2568,3,0,3
2571,2,0,2
2572,3,0,3
2573,1,0,1
2578,12,1,11
2581,1,0,1
2587,1,0,1
2588,5,0,5
2592,2,0,2
2593,1,0,1
2598,2,1,1
2602,2,0,2
2603,14,5,9
2605,1,1,0
2607,2,1,1
2609,2,0,2
2610,1,0,1
2611,4,1,3
2614,1,0,1
2629,1,0,1
2631,1,0,1
2632,1,0,1
2637,2,0,2
2638,1,0,1
2640,2,0,2
2643,1,0,1
2647,1,0,1
2648,1,0,1
2651,1,0,1
2652,7,0,7
2653,1,0,1
2654,1,0,1
2655,1,0,1
2659,1,0,1
2683,5,0,5
2685,41,8,33
2686,13,3,10
2687,7,1,6
2688,1,0,1
2697,2,0,2
2698,3,0,3
2702,2,0,2
2706,3,0,3
2707,1,0,1
2711,1,0,1
2713,2,0,2
