86|2|0|0|2|CSC-300-AS86|Computer Sciences Corporation|ARIN|US|41.08144|-81.51901
87|2|0|0|2|INDIANA-AS|Indiana University|ARIN|US|41.08144|-81.51901
88|3|1|0|2|PRINCETON-AS|Princeton University|ARIN|US|41.08144|-81.51901
89|2|0|0|2|DNIC-AS-00089|Navy Network Information Center (NNIC)|ARIN|US|41.08144|-81.51901
90|2|0|0|2|SUN-AS|Oracle Corporation|ARIN|US|41.08144|-81.51901
91|3|0|1|2|RPI-AS|Rensselaer Polytechnic Institute|ARIN|US|41.08144|-81.51901
98|3|0|0|3|ROCKEFELLER-AS|The Rockefeller University|ARIN|US|41.08144|-81.51901
100|5|0|0|5|FMC-CTC|FMC Central Engineering Laboratories|ARIN|US|41.08144|-81.51901
101|34|15|16|3|WASH-NSF-AS|University of Washington|ARIN|US|41.08144|-81.51901
102|3|1|0|2|NSF-HQ-AS|National Science Foundation|ARIN|US|41.08144|-81.51901
103|5|1|1|3|NWU-AS|Northwestern University|ARIN|US|41.08144|-81.51901
104|2|0|0|2|COLORADO-AS|University of Colorado at Boulder|ARIN|US|41.08144|-81.51901
106|2|0|0|2|GDAIS-ASN-106|General Dynamics Mission Systems, Inc.|ARIN|US|41.08144|-81.51901
109|8|0|0|8|CISCOSYSTEMS|Cisco Systems, Inc.|ARIN|US|41.08144|-81.51901
111|3|0|0|3|BOSTONU-AS|Boston University|ARIN|US|41.08144|-81.51901
112|26|11|0|15|ROOTSERV|DNS-OARC|ARIN|US|41.08144|-81.51901
116|2|0|0|2|TELCORDIA|Telcordia Technologies|ARIN|US|41.08144|-81.51901
122|2|0|0|2|U-PGH-NET-AS|UPMC|ARIN|US|41.08144|-81.51901
125|3|0|0|3|HI-NET-AS|Honeywell International, Inc.|ARIN|US|41.08144|-81.51901
127|3|0|0|3|JPL-AS127|Jet Propulsion Laboratory|ARIN|US|41.08144|-81.51901
131|3|0|0|3|UCSB-NET-AS|University of California, Santa Barbara|ARIN|US|41.08144|-81.51901
132|2|0|0|2|WPAFB-CSD-NET-AS|Air Force Systems Networking|ARIN|US|41.08144|-81.51901
137|10|5|1|4|ASGARR|Consortium GARR|RIPE|EU|0.0|0.0
139|1|0|0|1|DNIC-AS-00139|Navy Network Information Center (NNIC)|ARIN|US|41.08144|-81.51901
140|2|0|0|2|DNIC-AS-00140|DoD Network Information Center|ARIN|US|41.08144|-81.51901
144|1|0|0|1|ATT-INTERNET|Lucent Technologies/Bell Laboratories|ARIN|US|41.08144|-81.51901
145|8|1|5|2|VBNS|MCI Communications Corporation|ARIN|US|41.08144|-81.51901
149|1|0|0|1|DNIC-AS-00149|DoD Network Information Center|ARIN|US|41.08144|-81.51901
151|13|0|1|12|IND-NTC-AS|Hewlett-Packard Company|ARIN|US|41.08144|-81.51901
156|2|0|0|2|NORTHEASTERN-GW-AS|Northeastern University|ARIN|US|41.08144|-81.51901
157|2|0|0|2|INTELLIAUTON|Silicon Graphics International Corp.|ARIN|US|41.08144|-81.51901
158|2|0|0|2|ERI-AS|Ericsson Network Systems, Inc.|ARIN|US|41.08144|-81.51901
159|2|1|0|1|OSUNET-AS|The Ohio State University|ARIN|US|41.08144|-81.51901
160|3|0|0|3|U-CHICAGO-AS|University of Chicago|ARIN|US|41.08144|-81.51901
161|2|0|0|2|TI-AS|Texas Instruments, Inc.|ARIN|US|41.08144|-81.51901
167|1|0|0|1|WESLEYAN-AS|Wesleyan University|ARIN|US|41.08144|-81.51901
173|4|0|2|2|ERX-ECLNET|Electrical Communications Laboratories|APNIC|JP|34.6487|133.923
174|790|241|547|2|COGENT-174|Cogent Communications|ARIN|US|41.08144|-81.51901
181|1|1|0|0|MERIT-AS-1|Merit Network Inc.|ARIN|US|41.08144|-81.51901
182|1|1|0|0|MERIT-AS-2|Merit Network Inc.|ARIN|US|41.08144|-81.51901
186|1|1|0|0|CUA-AS|The Catholic University of America|ARIN|US|41.08144|-81.51901
188|2|0|0|2|SAIC-AS|SAIC|ARIN|US|41.08144|-81.51901
189|2|0|0|2|LVLT-189|Level 3 Parent, LLC|ARIN|US|41.08144|-81.51901
194|4|0|1|3|NCAR-AS|University Corporation for Atmospheric Research|ARIN|US|41.08144|-81.51901
195|8|1|4|3|SDSC-AS|San Diego Supercomputer Center|ARIN|US|41.08144|-81.51901
196|1|0|0|1|BOEING196|The Boeing Company|ARIN|US|41.08144|-81.51901
205|2|0|0|2|MONTCLAIR-AS|Montclair State University|ARIN|US|41.08144|-81.51901
206|5|0|1|4|CSC-IGN-AMER|Computer Sciences Corporation|ARIN|US|41.08144|-81.51901
209|1119|42|1077|0|CENTURYLINK-US-LEGACY-QWEST|CenturyLink Communications, LLC|ARIN|US|41.08144|-81.51901
