3605|1|0|0|1|ERX-KUENTOS-AS|"""Kuentos Communications"|" Inc."""|GU|0.0|0.0
3962|1|0|0|1|DIRECTNIC-CLUSTER1-TORRONTO|"""DirectNIC"|" Ltd."""|KY|0.0|0.0
4039|2|0|0|2
4148|1|0|0|1|ACTCOM|Active Communication Ltd.|EU|0.0|0.0
4589|5|2|1|2|EASYNET|Easynet Global Services|EU|0.0|0.0
4609|3|0|1|2|CTM-MO|Companhia de Telecomunicacoes de Macau|MO|0.0|0.0
5089|5|3|0|2|NTL|Virgin Media Limited|GB|0.0|0.0
5378|30|22|5|3||Vodafone Limited|GB|0.0|0.0
5388|10|5|3|2|ENERGIS-AS|Vodafone Limited|GB|0.0|0.0
5389|4|2|0|2
5393|1|0|0|1
5395|1|0|0|1
5402|2|0|1|1
5412|4|0|1|3
5413|61|51|7|3|AS5413|Daisy Communications Ltd|GB|0.0|0.0
5428|1|0|0|1|ECL-AS|Vodafone Limited|GB|0.0|0.0
5441|7|0|6|1|ASN-CNAF|Consortium GARR|EU|0.0|0.0
5442|1|0|0|1|ASN-CILEA|Consortium GARR|EU|0.0|0.0
5443|2|0|1|1|ASN-CINECA-GARR|Consortium GARR|EU|0.0|0.0
5444|2|1|0|1|ASN-PISA|Consortium GARR|EU|0.0|0.0
5445|4|1|1|2|ASN-ROMA|Consortium GARR|EU|0.0|0.0
5446|2|1|0|1|ASN-FRASCATI|Consortium GARR|EU|0.0|0.0
5447|1|0|0|1|ASN-LNGS|Consortium GARR|EU|0.0|0.0
5448|2|0|1|1|ASN-INFNMI|Consortium GARR|EU|0.0|0.0
5449|1|0|0|1|ASN-TRIESTE|Consortium GARR|EU|0.0|0.0
5450|1|0|0|1|ASN-BARI|Consortium GARR|EU|0.0|0.0
5451|2|1|0|1|ASN-NAPOLI|Consortium GARR|EU|0.0|0.0
5455|2|0|1|1|ASN-UNITO|Consortium GARR|EU|0.0|0.0
5456|1|0|0|1|ASN-POLITO|Consortium GARR|EU|0.0|0.0
5457|1|0|0|1|ASN-FIRENZE|Consortium GARR|EU|0.0|0.0
5459|40|38|0|2|LINX-AS|London Internet Exchange Ltd.|GB|0.0|0.0
5462|13|8|3|2|CABLEINET|Virgin Media Limited|GB|0.0|0.0
5465|1|0|0|1
5471|1|1|0|0
5481|3|0|0|3
5482|2|0|0|2|AS5482|Daisy Communications Ltd|GB|0.0|0.0
5490|2|0|0|2
5492|1|0|0|1
5494|1|0|0|1
5499|4|0|0|4
5500|1|0|0|1|Chess|ADEPT4 HOLDINGS LIMITED|GB|0.0|0.0
5503|2|0|0|2|RMIFL|RM Education Ltd|GB|0.0|0.0
5506|1|0|0|1
5509|3|0|1|2
5510|4|0|2|2
5511|3|0|2|1|Opentransit|Orange S.A.|EU|0.0|0.0
5512|1|0|0|1
5519|7|2|4|1|AS5519|Daisy Communications Ltd|GB|0.0|0.0
5536|1|0|0|1
5551|8|2|5|1|CORINET|Vodafone Limited|GB|0.0|0.0
5556|8|2|3|3
5557|4|2|0|2
5558|1|0|0|1
5559|4|0|0|4
5560|1|0|0|1|AS-BICS-INSTANT-PEERING|Belgacom International Carrier Services SA|EU|0.0|0.0
5561|3|0|2|1
5564|3|0|1|2|SOL-AS|Brightsolid Online Technology Ltd|GB|0.0|0.0
5569|1|0|0|1
5571|4|2|1|1|NETCOM|EASYNET ENTERPRISE SERVICES LIMITED|GB|0.0|0.0
5583|6|0|3|3|ORANGE-BUSINESS-SERVICES-BENELUX|Orange S.A.|EU|0.0|0.0
5586|1|0|0|1|MCI-INT|Verizon UK Limited|EU|0.0|0.0
5587|2|0|0|2|ITILITY-LIMITED|Itility Limited|GB|0.0|0.0
5590|5|2|0|3
5592|1|1|0|0
5595|2|0|0|2
5596|1|0|0|1
5597|1|0|0|1
5600|2|0|0|2|TCPNET-AS|Total Connectivity Providers Ltd|GB|0.0|0.0
5604|2|1|0|1|FREEDOMTOSURF|TalkTalk Communications Limited|GB|0.0|0.0
5607|5|1|2|2|BSKYB-BROADBAND-AS|Sky UK Limited|GB|0.0|0.0
5611|3|0|0|3
5621|3|2|0|1||Verizon Nederland B.V.|EU|0.0|0.0
5623|6|0|3|3|ATT-CH-0A|AT&T Global Network Services Nederland B.V.|EU|0.0|0.0
5625|1|0|0|1
5631|2|0|0|2|LUMINET|Luminet Data Limited|GB|0.0|0.0
5639|1|0|0|1||Telecommunication Services of Trinidad and Tobago|TT|0.0|0.0
6064|3|0|0|3
6067|2|1|0|1|ONYX|Onyx Group|EU|0.0|0.0
6320|5|1|1|3|FUSEDNETWORKS-AS|EASYNET CHANNEL PARTNERS LIMITED|EU|0.0|0.0
6412|2|0|0|2|KW|"""KEMS Block-A"| Floor 7| Souq Al-Kabeer Kuwait City| State of Kuwait P O Box 3623|" Safat 13037 KW"""|EU|0.0|0.0
6515|1|0|0|1
6517|2|0|0|2
6543|3|0|0|3
6568|1|0|0|1||Entel S.A. - EntelNet|BO|0.0|0.0
6589|1|0|0|1
6639|1|0|0|1|CWCAYMAN|Cable & Wireless (Cayman Islands) Ltd.|KY|0.0|0.0
6656|2|0|0|2|STARINTERNET|ClaraNET LTD|GB|0.0|0.0
6660|9|7|1|1|CWASIA|Vodafone Limited|GB|0.0|0.0
