196,1,0,0,1,BOEING196,The Boeing Company,US,41.08144,-81.51901
199,1,0,0,1,LVLT-199-203,"Level 3 Parent, LLC",US,41.08144,-81.51901
201,2,0,0,2,LVLT-199-203,"Level 3 Parent, LLC",US,41.08144,-81.51901
204,1,0,0,1,PSCNET-AS,Pittsburgh Supercomputing Center,US,41.08144,-81.51901
209,3,0,1,2,CENTURYLINK-US-LEGACY-QWEST,"CenturyLink Communications, LLC",US,41.08144,-81.51901
210,1,0,0,1,WEST-NET-WEST,Utah Education Network,US,41.08144,-81.51901
217,3,1,0,2,UMN-SYSTEM,University of Minnesota,US,41.08144,-81.51901
224,2,0,1,1,UNINETT,UNINETT AS,NO,60.39,5.32609
225,3,0,0,3,VIRGINIA-AS,University of Virginia,US,41.08144,-81.51901
226,11,2,7,2,LOS-NETTOS-AS,Los Nettos,US,41.08144,-81.51901
234,1,0,0,1,BLACKROSE-1,Blackrose Society,US,41.08144,-81.51901
237,7,2,3,2,MERIT-AS-14,Merit Network Inc.,US,41.08144,-81.51901
239,1,0,0,1,UTORONTO-AS,University of Toronto,CA,43.351,-79.7833
266,5,1,3,1,DHC-USA-INC,DHC USA INCORPORATED,US,41.08144,-81.51901
268,1,0,0,1,USUHSNET-AS,Uniformed Services University of the Health Sciences,US,41.08144,-81.51901
270,1,0,0,1,AS270,National Aeronautics and Space Administration,US,41.08144,-81.51901
271,1,0,0,1,BCNET-AS,BCnet,CA,43.351,-79.7833
278,7,0,3,4,,Universidad Nacional Autonoma de Mexico,MX,26.4763,-100.367
284,2,0,1,1,UUNET-IPV6,"MCI Communications Services, Inc. d/b/a Verizon Business",US,41.08144,-81.51901
286,72,47,23,2,KPN,KPN B.V.,NL,52.25917,4.75972
288,3,0,1,2,ESA,European Space Agency (ESA),EU,0.0,0.0
291,1,0,0,1,ESNET-EAST,ESnet,US,41.08144,-81.51901
292,1,0,0,1,ESNET-WEST,ESnet,US,41.08144,-81.51901
293,108,73,35,0,ESNET,ESnet,US,41.08144,-81.51901
297,29,14,15,0,AS297,National Aeronautics and Space Administration,US,41.08144,-81.51901
298,1,1,0,0,RADC-LONEX-AS,Air Force Systems Networking,US,41.08144,-81.51901
299,1,0,0,1,UCINET-AS,"University of California, Irvine",US,41.08144,-81.51901
302,2,0,0,2,BCM-INFO-NET-AS,Baylor College of Medicine,US,41.08144,-81.51901
376,2,0,0,2,RISQ-AS,Reseau d'informations scientifiques du Quebec (RISQ),CA,43.351,-79.7833
377,2,0,0,2,SNLA-NET-AS,Sandia National Laboratories,US,41.08144,-81.51901
378,1,0,0,1,MACHBA-AS,IUCC - Israel InterUniversity Computation Center,IL,32.0592,34.7631
