日本, 133.130.115.224, 0%, 82
阿根廷, 200.55.240.23, 0%, 314
尼日利亚, 154.113.1.1, 0%, 237
葡萄牙, 188.208.143.109, 0%, 170
加拿大, 132.216.177.160, 0%, 238
美国, 45.35.23.120, 0%, 151
新加坡, 180.210.206.51, 0%, 115
韩国, 103.86.86.1, 0%, 44
乌克兰, 91.229.78.83, 0%, 185
德国, 185.72.247.76, 0%, 191
巴西, 181.41.214.27, 0%, 318
英国, 46.17.63.250, 0%, 209
台湾, 218.32.21.1, 0%, 56
南非, 168.209.28.2, 0%, 468
埃及, 41.215.240.13, 0%, 284
马来西亚, 223.25.244.145, 0%, 91
墨西哥, 143.255.57.1, 0%, 217
哈萨克斯坦, 91.185.5.197, 0%, 257
印度, 220.226.182.128, 0%, 138
荷兰, 103.136.40.107, 0%, 166
芬兰, 185.87.108.247, 0%, 153
意大利, 192.71.26.35, 0%, 264
沙特, 46.151.213.205, 0%, 229
香港, 203.119.87.218, 1%, 82
智利, 190.105.239.70, 1%, 330
阿联酋, 185.93.245.1, 1%, 287
蒙古, 43.231.113.234, 1%, 139
土耳其, 185.125.32.29, 1%, 223
澳大利亚, 203.143.89.72, 1%, 170
越南, 45.117.76.22, 2%, 75
泰国, 43.254.132.221, 4%, 103
俄罗斯, 46.38.51.201, 5%, 136
肯尼亚, 62.12.114.67, 7%, 359
-, -, -, -
北京, 中国信息通信研究院, 鹏博士/联通, 219.239.97.14
