马来西亚, 223.25.244.145, 0%, 89
新加坡, 180.210.206.51, 0%, 110
越南, 45.117.76.22, 0%, 165
泰国, 43.254.132.221, 0%, 143
韩国, 103.86.86.1, 0%, 55
台湾, 218.32.21.1, 0%, 125
印度, 220.226.182.128, 0%, 370
沙特, 46.151.213.205, 0%, 345
澳大利亚, 203.143.89.72, 0%, 361
哈萨克斯坦, 91.185.5.197, 0%, 386
俄罗斯, 46.38.51.201, 0%, 162
英国, 46.17.63.250, 0%, 320
芬兰, 185.87.108.247, 0%, 209
香港, 203.119.87.218, 0%, 236
阿联酋, 185.93.245.1, 0%, 501
荷兰, 103.136.40.107, 0%, 219
葡萄牙, 188.208.143.109, 0%, 236
乌克兰, 91.229.78.83, 0%, 205
德国, 185.72.247.76, 0%, 337
意大利, 192.71.26.35, 0%, 309
尼日利亚, 154.113.1.1, 0%, 275
美国, 45.35.23.120, 0%, 258
埃及, 41.215.240.13, 0%, 284
加拿大, 132.216.177.160, 0%, 287
墨西哥, 143.255.57.1, 0%, 295
阿根廷, 200.55.240.23, 0%, 360
南非, 168.209.28.2, 0%, 492
智利, 190.105.239.70, 0%, 447
日本, 133.130.115.224, 10%, 121
土耳其, 185.125.32.29, 10%, 302
蒙古, 43.231.113.234, 10%, 290
巴西, 181.41.214.27, 10%, 357
肯尼亚, 62.12.114.67, 20%, 343
-, -, -, -
北京, 中国信息通信研究院, 电信, 111.204.176.147
